ERUID,ERNAME,Merge
2465,Abitibi-Témiscamingue,Abitibi-Témiscamingue
1230,Annapolis Valley,Annapolis Valley
4870,Athabasca--Grande Prairie--Peace River,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
1010,Avalon Peninsula,Avalon Peninsula
4840,Banff--Jasper--Rocky Mountain House,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
2415,Bas-Saint-Laurent,Bas-Saint-Laurent
2480,Côte-Nord,Côte-Nord and Nord-du-Québec
4830,Calgary,Calgary
1310,Campbellton--Miramichi,Campbellton-Miramichi
4820,Camrose--Drumheller,Camrose-Drumheller
1210,Cape Breton,Cape Breton
2420,Capitale-Nationale,Capitale-Nationale
5950,Cariboo,Cariboo
2433,Centre-du-Québec,Centre-du-Québec
2425,Chaudière-Appalaches,Chaudière-Appalaches
4860,Edmonton,Edmonton
1350,Edmundston--Woodstock,Edmundston-Woodstock
2430,Estrie,Estrie
1340,Fredericton--Oromocto,Fredericton-Oromocto
2410,Gaspésie--Îles-de-la-Madeleine,Gaspésie-Îles-de-la-Madeleine
1250,Halifax,Halifax
3550,Hamilton--Niagara Peninsula,Hamilton-Niagara Peninsula
4660,Interlake,Interlake
3515,Kingston--Pembroke,Kingston-Pembroke
3540,Kitchener--Waterloo--Barrie,Kitchener-Waterloo-Barrie
5940,Kootenay,Kootenay
2450,Lanaudière,Lanaudière
2455,Laurentides,Laurentides
2445,Laval,Laval
4810,Lethbridge--Medicine Hat,Lethbridge-Medicine Hat
3560,London,London
5920,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,Lower Mainland-Southwest
2470,Mauricie,Mauricie
1320,Moncton--Richibucto,Moncton-Richibucto
2435,Montérégie,Montérégie
2440,Montréal,Montréal
3520,Muskoka--Kawarthas,Muskoka-Kawarthas
5970,Nechako,North Coast and Nechako
2490,Nord-du-Québec,Côte-Nord and Nord-du-Québec
4680,North / Nord,Parklands and North
4640,North Central / Centre nord,South Central and North Central
5960,North Coast / Côte-nord,North Coast and Nechako
1220,North Shore / Côte-nord,North Shore
3590,Northeast / Nord-est,"Northeast, Ontario"
5980,Northeast / Nord-est,"Northeast, British Columbia"
4760,Northern / Nord,Prince Albert and Northern
3595,Northwest / Nord-ouest,Northwest
1040,Notre Dame--Central Bonavista Bay,South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay
3510,Ottawa,Ottawa
2460,Outaouais,Outaouais
4670,Parklands,Parklands and North
4750,Prince Albert,Prince Albert and Northern
4850,Red Deer,Red Deer
4710,Regina--Moose Mountain,Regina-Moose Mountain
2475,Saguenay--Lac-Saint-Jean,Saguenay-Lac-Saint-Jean
1330,Saint John--St. Stephen,Saint John-St. Stephen
4730,Saskatoon--Biggar,Saskatoon-Biggar
4620,South Central / Centre sud,South Central and North Central
1020,South Coast--Burin Peninsula / Côte-sud--Burin Peninsula,South Coast-Burin Peninsula and Notre Dame-Central Bonavista Bay
4610,Southeast / Sud-est,Southeast
1240,Southern / Sud,Southern
4630,Southwest / Sud-ouest,Southwest
3580,Stratford--Bruce Peninsula,Stratford-Bruce Peninsula
4720,Swift Current--Moose Jaw,Swift Current-Moose Jaw
5930,Thompson--Okanagan,Thompson-Okanagan
3530,Toronto,Toronto
5910,Vancouver Island and Coast / Île de Vancouver et la côte,Vancouver Island and Coast
1030,West Coast--Northern Peninsula--Labrador / Côte-ouest--Northern Peninsula--Labrador,West Coast-Northern Peninsula-Labrador
3570,Windsor--Sarnia,Windsor-Sarnia
4650,Winnipeg,Winnipeg
4880,Wood Buffalo--Cold Lake,Wood Buffalo-Cold Lake
4740,Yorkton--Melville,Yorkton-Melville
1110,Prince Edward Island / Île-du-Prince-Édouard,Prince Edward Island
6010,Yukon,Yukon
6110,Northwest Territories / Territoires du Nord-Ouest,Northwest Territories
6210,Nunavut,Nunavut
